,BatterName,TotalRuns,TotalBalls,StrikeRate
0,YBK Jaiswal,366,273,134.06593406593404
1,JC Buttler,1230,882,139.45578231292518
2,SV Samson,999,870,114.82758620689654
3,WP Saha,972,749,129.77303070761016
4,Shubman Gill,882,751,117.4434087882823
5,MS Wade,113,103,109.70873786407766
6,HH Pandya,93,114,81.57894736842105
7,V Kohli,2135,1881,113.50345560871877
8,F du Plessis,1480,1185,124.89451476793249
9,RM Patidar,107,102,104.90196078431373
10,Q de Kock,1634,1283,127.35775526110677
11,KL Rahul,1600,1307,122.41775057383319
12,M Vohra,681,555,122.7027027027027
13,DJ Hooda,89,89,100.0
14,PK Garg,41,38,107.89473684210526
15,Abhishek Sharma,298,231,129.004329004329
16,RA Tripathi,779,566,137.63250883392226
17,JM Bairstow,695,487,142.71047227926076
18,S Dhawan,3157,2656,118.86295180722892
19,M Shahrukh Khan,15,12,125.0
20,PP Shaw,1129,787,143.4561626429479
21,DA Warner,2894,2196,131.78506375227687
22,MR Marsh,115,85,135.29411764705884
23,RR Pant,364,304,119.73684210526316
24,SN Khan,75,52,144.23076923076923
25,Ishan Kishan,679,567,119.75308641975309
26,RG Sharma,1634,1428,114.42577030812325
27,D Brevis,65,48,135.41666666666669
28,RD Gaikwad,522,484,107.85123966942149
29,DP Conway,85,76,111.8421052631579
30,MM Ali,188,154,122.07792207792207
31,VR Iyer,339,297,114.14141414141415
32,N Rana,543,480,113.12500000000001
33,A Tomar,4,8,50.0
34,SS Iyer,862,808,106.68316831683168
35,Lalit Yadav,23,30,76.66666666666667
36,PBB Rajapaksa,56,32,175.0
37,LS Livingstone,134,81,165.4320987654321
38,A Badoni,1,7,14.285714285714285
39,KH Pandya,43,27,159.25925925925927
40,AM Rahane,2049,1837,111.54055525313011
41,KS Williamson,467,480,97.29166666666667
42,MK Lomror,28,28,100.0
43,GJ Maxwell,350,269,130.11152416356876
44,RV Uthappa,2037,1697,120.03535651149086
45,AT Rayudu,777,750,103.60000000000001
46,MS Dhoni,59,78,75.64102564102564
47,S Dube,30,42,71.42857142857143
48,DR Sams,1,7,14.285714285714285
49,Tilak Varma,19,27,70.37037037037037
50,T Stubbs,0,2,0.0
51,HR Shokeen,1,5,20.0
52,R Ashwin,58,56,103.57142857142858
53,KS Bharat,65,61,106.55737704918033
54,KS Sharma,4,4,100.0
55,Ramandeep Singh,2,4,50.0
56,AK Markram,25,36,69.44444444444444
57,B Indrajith,19,28,67.85714285714286
58,AJ Finch,911,826,110.2905569007264
59,RK Singh,9,7,128.57142857142858
60,Mandeep Singh,629,561,112.12121212121211
61,B Sai Sudharsan,28,27,103.7037037037037
62,D Padikkal,631,537,117.5046554934823
63,SA Yadav,727,534,136.1423220973783
64,MA Agarwal,1184,1008,117.46031746031747
65,DJ Mitchell,0,5,0.0
66,MJ Santner,20,27,74.07407407407408
67,MK Pandey,1096,992,110.48387096774192
68,Anuj Rawat,77,87,88.50574712643679
69,SS Prabhudessai,8,13,61.53846153846154
70,Shahbaz Ahmed,14,15,93.33333333333333
71,SW Billings,125,100,125.0
72,SP Narine,665,400,166.25
73,JM Sharma,1,1,100.0
74,V Shankar,45,72,62.5
75,A Manohar,12,12,100.0
76,DA Miller,87,99,87.87878787878788
77,P Simran Singh,44,42,104.76190476190477
78,K Gowtham,8,6,133.33333333333331
79,JO Holder,12,18,66.66666666666666
80,E Lewis,420,298,140.93959731543623
81,RA Jadeja,52,48,108.33333333333333
82,TL Seifert,24,21,114.28571428571428
83,Anmolpreet Singh,21,18,116.66666666666667
84,RA Bawa,0,1,0.0
85,SE Rutherford,4,12,33.33333333333333
