,BowlerName,RunsGiven,BallsBowled,Economy
0,Mohammed Shami,1385,1121,7.413024085637823
1,Yash Dayal,140,92,9.130434782608695
2,LH Ferguson,290,221,7.873303167420815
3,Rashid Khan,275,209,7.894736842105264
4,TA Boult,1270,1083,7.036011080332409
5,M Prasidh Krishna,719,558,7.731182795698924
6,YS Chahal,522,391,8.010230179028135
7,Mohammed Siraj,872,616,8.493506493506493
8,JR Hazlewood,395,321,7.3831775700934585
9,GJ Maxwell,270,185,8.756756756756756
10,Shahbaz Ahmed,116,81,8.592592592592592
11,Mohsin Khan,89,101,5.287128712871287
12,PVD Chameera,202,152,7.973684210526316
13,KH Pandya,459,373,7.383378016085791
14,Avesh Khan,480,358,8.044692737430168
15,AS Joseph,129,80,9.675
16,R Ashwin,1183,1087,6.529898804047838
17,LS Livingstone,10,12,5.0
18,Arshdeep Singh,472,366,7.7377049180327875
19,K Rabada,795,604,7.897350993377483
20,NT Ellis,35,31,6.774193548387098
21,B Kumar,1796,1806,5.966777408637874
22,Washington Sundar,424,349,7.289398280802292
23,Fazalhaq Farooqi,29,32,5.4375
24,J Suchith,104,75,8.32
25,DR Sams,214,192,6.6875
26,HR Shokeen,26,24,6.5
27,JJ Bumrah,1063,960,6.643749999999999
28,KK Ahmed,525,396,7.954545454545454
29,A Nortje,402,313,7.706070287539936
30,SN Thakur,759,542,8.402214022140221
31,MR Marsh,125,84,8.928571428571429
32,Mukesh Choudhary,274,201,8.17910447761194
33,Simarjeet Singh,127,94,8.106382978723403
34,S Kaul,531,354,9.0
35,HH Pandya,315,227,8.325991189427313
36,UT Yadav,1652,1324,7.486404833836858
37,TG Southee,812,638,7.636363636363637
38,SP Narine,937,857,6.560093348891481
39,CV Varun,224,193,6.963730569948186
40,JO Holder,474,333,8.54054054054054
41,K Gowtham,307,225,8.186666666666666
42,RP Meredith,115,88,7.840909090909092
43,R Sanjay Yadav,8,6,8.0
44,T Natarajan,268,201,8.0
45,Harpreet Brar,73,44,9.954545454545455
46,R Dhawan,133,105,7.6
47,Lalit Yadav,58,49,7.1020408163265305
