,TeamBatting,TeamBowling,Venue,Prediction,Actual,Error
0,Rajasthan Royals,Gujarat Titans,Narendra Modi Stadiu,43.67703461312856,44,0.7340122428896317
1,Gujarat Titans,Rajasthan Royals,Narendra Modi Stadiu,40.93179731425707,31,32.038055852442156
2,Royal Challengers Bangalore,Lucknow Super Giants,"Eden Gardens, Kolkat",48.553692412078,52,6.627514592157692
3,Lucknow Super Giants,Royal Challengers Bangalore,"Eden Gardens, Kolkat",44.20995642854389,62,28.693618663638887
4,Sunrisers Hyderabad,Punjab Kings,"Wankhede Stadium, Mu",45.15134292064843,43,5.003123071275422
5,Punjab Kings,Sunrisers Hyderabad,"Wankhede Stadium, Mu",52.22145383230933,62,15.771848657565599
6,Chennai Super Kings,Rajasthan Royals,"Brabourne Stadium, M",45.309755794822244,75,39.586992273570345
7,Rajasthan Royals,Chennai Super Kings,"Brabourne Stadium, M",53.559684477529814,52,2.9993932260188725
8,Lucknow Super Giants,Kolkata Knight Riders,Dr DY Patil Sports A,45.044540812114796,44,2.3739563911699917
9,Kolkata Knight Riders,Lucknow Super Giants,Dr DY Patil Sports A,47.548060166596194,60,20.75323305567301
10,Delhi Capitals,Punjab Kings,Dr DY Patil Sports A,47.77339789543813,59,19.028139160274357
11,Punjab Kings,Delhi Capitals,Dr DY Patil Sports A,47.541157524820335,54,11.960819398480862
12,Chennai Super Kings,Gujarat Titans,"Wankhede Stadium, Mu",42.88384941540785,47,8.75776720125989
13,Gujarat Titans,Chennai Super Kings,"Wankhede Stadium, Mu",41.855260481074495,53,21.02781041306699
14,Punjab Kings,Royal Challengers Bangalore,"Brabourne Stadium, M",51.36235882492378,83,38.11763996997134
15,Royal Challengers Bangalore,Punjab Kings,"Brabourne Stadium, M",44.98127662458206,44,2.230174146777405
16,Rajasthan Royals,Delhi Capitals,Dr DY Patil Sports A,44.90880873947781,43,4.439090091808867
17,Delhi Capitals,Rajasthan Royals,Dr DY Patil Sports A,48.907533471201546,38,28.704035450530384
18,Kolkata Knight Riders,Mumbai Indians,Dr DY Patil Sports A,45.871990969321324,64,28.325014110435433
19,Mumbai Indians,Kolkata Knight Riders,Dr DY Patil Sports A,43.990796287146196,37,18.894044019314045
20,Royal Challengers Bangalore,Sunrisers Hyderabad,"Wankhede Stadium, Mu",47.42365734012706,47,0.9013985960150162
21,Sunrisers Hyderabad,Royal Challengers Bangalore,"Wankhede Stadium, Mu",47.423770042902525,39,21.599410366416734
22,Punjab Kings,Rajasthan Royals,"Wankhede Stadium, Mu",47.62030784179867,48,0.7910253295861036
23,Rajasthan Royals,Punjab Kings,"Wankhede Stadium, Mu",43.963096687795066,67,34.38343777941035
24,Delhi Capitals,Sunrisers Hyderabad,"Brabourne Stadium, M",37.280932468248345,50,25.43813506350331
25,Sunrisers Hyderabad,Delhi Capitals,"Brabourne Stadium, M",43.05565107827678,35,23.016145937933665
