,TeamBatting,TeamBowling,Venue,Prediction,Actual,Error
0,Rajasthan Royals,Gujarat Titans,Narendra Modi Stadiu,44.128101761086256,44,0.2911403661051279
1,Gujarat Titans,Rajasthan Royals,Narendra Modi Stadiu,40.513302837858745,31,30.688073670512082
2,Royal Challengers Bangalore,Lucknow Super Giants,"Eden Gardens, Kolkat",47.82219135255564,52,8.03424739893146
3,Lucknow Super Giants,Royal Challengers Bangalore,"Eden Gardens, Kolkat",43.71332924549446,62,29.49463024920249
4,Sunrisers Hyderabad,Punjab Kings,"Wankhede Stadium, Mu",44.784667082270744,43,4.150388563420335
5,Punjab Kings,Sunrisers Hyderabad,"Wankhede Stadium, Mu",50.408904638810725,62,18.69531509869238
6,Chennai Super Kings,Rajasthan Royals,"Brabourne Stadium, M",45.66440617494468,75,39.11412510007376
7,Rajasthan Royals,Chennai Super Kings,"Brabourne Stadium, M",49.587432434322515,52,4.63955301091824
8,Lucknow Super Giants,Kolkata Knight Riders,Dr DY Patil Sports A,44.95090544640475,44,2.1611487418289697
9,Kolkata Knight Riders,Lucknow Super Giants,Dr DY Patil Sports A,47.04300670233108,60,21.594988829448205
10,Delhi Capitals,Punjab Kings,Dr DY Patil Sports A,46.97940930006169,59,20.373882542268323
11,Punjab Kings,Delhi Capitals,Dr DY Patil Sports A,44.94176138846999,54,16.774515947277795
12,Chennai Super Kings,Gujarat Titans,"Wankhede Stadium, Mu",42.545020193418196,47,9.478680439535752
13,Gujarat Titans,Chennai Super Kings,"Wankhede Stadium, Mu",42.84524210000613,53,19.159920566026166
14,Punjab Kings,Royal Challengers Bangalore,"Brabourne Stadium, M",49.58449621624602,83,40.2596431129566
15,Royal Challengers Bangalore,Punjab Kings,"Brabourne Stadium, M",43.393818486262674,44,1.3776852584939225
16,Rajasthan Royals,Delhi Capitals,Dr DY Patil Sports A,45.82381829919231,43,6.567019300447235
17,Delhi Capitals,Rajasthan Royals,Dr DY Patil Sports A,50.63461308062746,38,33.24898179112489
18,Kolkata Knight Riders,Mumbai Indians,Dr DY Patil Sports A,44.617812621617375,64,30.284667778722852
19,Mumbai Indians,Kolkata Knight Riders,Dr DY Patil Sports A,44.14849308261186,37,19.32025157462664
20,Royal Challengers Bangalore,Sunrisers Hyderabad,"Wankhede Stadium, Mu",46.66196139558828,47,0.719231073216429
21,Sunrisers Hyderabad,Royal Challengers Bangalore,"Wankhede Stadium, Mu",48.49330478324829,39,24.34180713653408
22,Punjab Kings,Rajasthan Royals,"Wankhede Stadium, Mu",46.106059507058184,48,3.94570936029545
23,Rajasthan Royals,Punjab Kings,"Wankhede Stadium, Mu",44.84516443738901,67,33.066918750165655
24,Delhi Capitals,Sunrisers Hyderabad,"Brabourne Stadium, M",36.59364590211982,50,26.812708195760365
25,Sunrisers Hyderabad,Delhi Capitals,"Brabourne Stadium, M",42.940950398483466,35,22.68842970995276
26,Gujarat Titans,Punjab Kings,Dr DY Patil Sports A,45.192738303181606,42,7.6017578647181105
27,Punjab Kings,Gujarat Titans,Dr DY Patil Sports A,36.937989618798305,43,14.097698560934175
28,Chennai Super Kings,Sunrisers Hyderabad,Maharashtra Cricket ,44.9859996642498,40,12.464999160624508
29,Sunrisers Hyderabad,Chennai Super Kings,Maharashtra Cricket ,46.7126842553722,58,19.46088921487551
30,Rajasthan Royals,Mumbai Indians,Dr DY Patil Sports A,31.05100659548076,40,22.372483511298096
31,Mumbai Indians,Rajasthan Royals,Dr DY Patil Sports A,38.38343663175543,41,6.381861873767244
32,Lucknow Super Giants,Punjab Kings,Maharashtra Cricket ,47.685135358601556,39,22.269577842568093
33,Punjab Kings,Lucknow Super Giants,Maharashtra Cricket ,47.36778276562313,46,2.973440794832898
34,Sunrisers Hyderabad,Gujarat Titans,"Wankhede Stadium, Mu",48.098055799932304,53,9.248951320882446
35,Gujarat Titans,Sunrisers Hyderabad,"Wankhede Stadium, Mu",39.13308220786999,59,33.67274202055934
36,Punjab Kings,Chennai Super Kings,"Wankhede Stadium, Mu",42.585059062549774,37,15.094754223107499
37,Chennai Super Kings,Punjab Kings,"Wankhede Stadium, Mu",39.93737807976389,32,24.804306499262154
38,Royal Challengers Bangalore,Sunrisers Hyderabad,"Brabourne Stadium, M",44.965055394995666,31,45.0485657903086
39,Sunrisers Hyderabad,Royal Challengers Bangalore,"Brabourne Stadium, M",45.628937492188555,56,18.519754478234724
40,Rajasthan Royals,Delhi Capitals,"Wankhede Stadium, Mu",45.803312447792806,44,4.098437381347286
41,Delhi Capitals,Rajasthan Royals,"Wankhede Stadium, Mu",44.67401201272059,55,18.774523613235296
42,Punjab Kings,Delhi Capitals,"Brabourne Stadium, M",44.71397875208974,47,4.863874995553751
43,Delhi Capitals,Punjab Kings,"Brabourne Stadium, M",47.34484871541502,81,41.54956948714195
44,Rajasthan Royals,Kolkata Knight Riders,"Brabourne Stadium, M",45.30672767579882,60,24.48878720700197
