,MatchNo,MatchID,Year,Venue,Innings,VenueAvg,TeamBatting,TeamBowling,TeamBattingAvg,Batters,Bowlers,Batter1SR,Batter2SR,Batter3SR,Bowler1E,Bowler2E,Bowler3E,RunsScored,Wickets
0,0,1312200,2022,Narendra Modi Stadiu,1,46.07142857142857,Rajasthan Royals,Gujarat Titans,45.39325842696629,"['YBK Jaiswal', 'JC Buttler', 'SV Samson']","['Mohammed Shami', 'Yash Dayal', 'LH Ferguson', 'Rashid Khan']",148.71794871794873,154.30839002267572,145.632183908046,7.413024085637823,9.130434782608695,7.873303167420815,44,1
1,0,1312200,2022,Narendra Modi Stadiu,2,46.07142857142857,Gujarat Titans,Rajasthan Royals,42.714285714285715,"['WP Saha', 'Shubman Gill', 'MS Wade', 'HH Pandya']","['TA Boult', 'M Prasidh Krishna', 'YS Chahal']",138.98531375166888,130.89214380825567,119.41747572815532,7.036011080332409,7.731182795698924,8.010230179028135,31,2
2,1,1312198,2022,"Eden Gardens, Kolkat",1,58.25,Royal Challengers Bangalore,Lucknow Super Giants,45.55555555555556,"['V Kohli', 'F du Plessis', 'RM Patidar']","['Mohsin Khan', 'PVD Chameera', 'KH Pandya', 'Avesh Khan']",129.1866028708134,138.73417721518987,133.33333333333331,5.287128712871287,7.973684210526316,7.383378016085791,52,1
3,1,1312198,2022,"Eden Gardens, Kolkat",2,58.25,Lucknow Super Giants,Royal Challengers Bangalore,44.875,"['Q de Kock', 'KL Rahul', 'M Vohra', 'DJ Hooda']","['Mohammed Siraj', 'JR Hazlewood', 'Shahbaz Ahmed']",140.21823850350742,138.40856924254018,133.51351351351352,8.493506493506493,7.3831775700934585,8.592592592592592,62,2
4,2,1304116,2022,"Wankhede Stadium, Mu",1,45.177419354838705,Sunrisers Hyderabad,Punjab Kings,43.91304347826087,"['PK Garg', 'Abhishek Sharma', 'RA Tripathi']","['LS Livingstone', 'Arshdeep Singh', 'K Rabada', 'NT Ellis']",126.3157894736842,141.12554112554113,156.00706713780917,5.0,7.7377049180327875,7.897350993377483,43,1
5,2,1304116,2022,"Wankhede Stadium, Mu",2,45.177419354838705,Punjab Kings,Sunrisers Hyderabad,47.77777777777778,"['JM Bairstow', 'S Dhawan', 'M Shahrukh Khan']","['B Kumar', 'Washington Sundar', 'Fazalhaq Farooqi', 'J Suchith']",153.38809034907598,132.04066265060243,158.33333333333331,5.966777408637874,7.289398280802292,5.4375,62,1
6,3,1304114,2022,"Brabourne Stadium, M",1,53.147058823529406,Chennai Super Kings,Rajasthan Royals,45.3963963963964,"['RD Gaikwad', 'DP Conway', 'MM Ali']","['TA Boult', 'M Prasidh Krishna', 'R Ashwin']",122.31404958677685,131.57894736842107,155.19480519480518,7.036011080332409,7.731182795698924,6.529898804047838,75,1
7,3,1304114,2022,"Brabourne Stadium, M",2,53.147058823529406,Rajasthan Royals,Chennai Super Kings,45.39325842696629,"['YBK Jaiswal', 'JC Buttler', 'SV Samson']","['Mukesh Choudhary', 'Simarjeet Singh']",148.71794871794873,154.30839002267572,145.632183908046,8.17910447761194,8.106382978723403,8.20377313587133,52,1
8,4,1304112,2022,Dr DY Patil Sports A,1,42.32352941176471,Lucknow Super Giants,Kolkata Knight Riders,44.875,"['Q de Kock', 'KL Rahul']","['UT Yadav', 'TG Southee', 'SP Narine', 'CV Varun']",140.21823850350742,138.40856924254018,123.92799513109729,7.486404833836858,7.636363636363637,6.560093348891481,44,0
9,4,1304112,2022,Dr DY Patil Sports A,2,42.32352941176471,Kolkata Knight Riders,Lucknow Super Giants,44.40952380952381,"['VR Iyer', 'N Rana', 'A Tomar', 'SS Iyer']","['Mohsin Khan', 'JO Holder', 'Avesh Khan', 'K Gowtham']",126.26262626262626,138.125,50.0,5.287128712871287,8.54054054054054,8.044692737430168,60,2
10,5,1304110,2022,Dr DY Patil Sports A,1,42.32352941176471,Delhi Capitals,Punjab Kings,46.58620689655172,"['DA Warner', 'MR Marsh', 'SN Khan', 'Lalit Yadav']","['LS Livingstone', 'K Rabada', 'Harpreet Brar', 'R Dhawan', 'Arshdeep Singh']",145.03642987249546,180.0,167.30769230769232,5.0,7.897350993377483,9.954545454545455,59,2
11,5,1304110,2022,Dr DY Patil Sports A,2,42.32352941176471,Punjab Kings,Delhi Capitals,47.77777777777778,"['JM Bairstow', 'S Dhawan', 'PBB Rajapaksa', 'LS Livingstone']","['KK Ahmed', 'A Nortje', 'Lalit Yadav', 'SN Thakur']",153.38809034907598,132.04066265060243,253.125,7.954545454545454,7.706070287539936,7.1020408163265305,54,3
12,6,1304108,2022,"Wankhede Stadium, Mu",1,45.177419354838705,Chennai Super Kings,Gujarat Titans,45.3963963963964,"['RD Gaikwad', 'DP Conway', 'MM Ali']","['Mohammed Shami', 'HH Pandya', 'Yash Dayal', 'Rashid Khan']",122.31404958677685,131.57894736842107,155.19480519480518,7.413024085637823,8.325991189427313,9.130434782608695,47,1
13,6,1304108,2022,"Wankhede Stadium, Mu",2,45.177419354838705,Gujarat Titans,Chennai Super Kings,42.714285714285715,"['WP Saha', 'Shubman Gill']","['Mukesh Choudhary', 'Simarjeet Singh', 'MJ Santner']",138.98531375166888,130.89214380825567,123.92799513109729,8.17910447761194,8.106382978723403,8.148148148148149,53,0
14,7,1304106,2022,"Brabourne Stadium, M",1,53.147058823529406,Punjab Kings,Royal Challengers Bangalore,47.77777777777778,"['JM Bairstow', 'S Dhawan']","['GJ Maxwell', 'JR Hazlewood', 'Mohammed Siraj']",153.38809034907598,132.04066265060243,123.92799513109729,8.756756756756756,7.3831775700934585,8.493506493506493,83,1
15,7,1304106,2022,"Brabourne Stadium, M",2,53.147058823529406,Royal Challengers Bangalore,Punjab Kings,45.55555555555556,"['V Kohli', 'F du Plessis', 'RM Patidar', 'MK Lomror', 'GJ Maxwell']","['Harpreet Brar', 'Arshdeep Singh', 'K Rabada', 'R Dhawan']",129.1866028708134,138.73417721518987,133.33333333333331,9.954545454545455,7.7377049180327875,7.897350993377483,44,3
16,8,1304104,2022,Dr DY Patil Sports A,1,42.32352941176471,Rajasthan Royals,Delhi Capitals,45.39325842696629,"['YBK Jaiswal', 'JC Buttler', 'R Ashwin']","['C Sakariya', 'A Nortje', 'SN Thakur', 'AR Patel']",148.71794871794873,154.30839002267572,114.28571428571428,6.582857142857144,7.706070287539936,8.402214022140221,43,1
17,8,1304104,2022,Dr DY Patil Sports A,2,42.32352941176471,Delhi Capitals,Rajasthan Royals,46.58620689655172,"['KS Bharat', 'MR Marsh', 'DA Warner']","['TA Boult', 'M Prasidh Krishna', 'R Ashwin']",140.98360655737704,180.0,145.03642987249546,7.036011080332409,7.731182795698924,6.529898804047838,38,1
18,9,1304102,2022,Dr DY Patil Sports A,1,42.32352941176471,Kolkata Knight Riders,Mumbai Indians,44.40952380952381,"['VR Iyer', 'AM Rahane', 'N Rana']","['DR Sams', 'M Ashwin', 'JJ Bumrah', 'RP Meredith', 'K Kartikeya']",126.26262626262626,123.02667392487751,138.125,6.6875,8.936170212765957,6.643749999999999,64,1
19,9,1304102,2022,Dr DY Patil Sports A,2,42.32352941176471,Mumbai Indians,Kolkata Knight Riders,45.214285714285715,"['RG Sharma', 'Ishan Kishan', 'Tilak Varma', 'Ramandeep Singh']","['TG Southee', 'PJ Cummins', 'AD Russell', 'SP Narine']",132.63305322128852,135.44973544973544,170.37037037037038,7.636363636363637,7.991091314031181,7.894736842105264,37,2
20,10,1304100,2022,"Wankhede Stadium, Mu",1,45.177419354838705,Royal Challengers Bangalore,Sunrisers Hyderabad,45.55555555555556,"['V Kohli', 'RM Patidar', 'F du Plessis']","['J Suchith', 'B Kumar', 'Fazalhaq Farooqi', 'Kartik Tyagi']",129.1866028708134,133.33333333333331,138.73417721518987,8.32,5.966777408637874,5.4375,47,1
21,10,1304100,2022,"Wankhede Stadium, Mu",2,45.177419354838705,Sunrisers Hyderabad,Royal Challengers Bangalore,43.91304347826087,"['Abhishek Sharma', 'RA Tripathi', 'AK Markram']","['GJ Maxwell', 'JR Hazlewood', 'Shahbaz Ahmed', 'Mohammed Siraj']",141.12554112554113,156.00706713780917,141.66666666666669,8.756756756756756,7.3831775700934585,8.592592592592592,39,2
22,11,1304098,2022,"Wankhede Stadium, Mu",1,45.177419354838705,Punjab Kings,Rajasthan Royals,47.77777777777778,"['JM Bairstow', 'S Dhawan', 'PBB Rajapaksa']","['TA Boult', 'M Prasidh Krishna', 'KR Sen', 'R Ashwin']",153.38809034907598,132.04066265060243,253.125,7.036011080332409,7.731182795698924,7.846153846153847,48,1
23,11,1304098,2022,"Wankhede Stadium, Mu",2,45.177419354838705,Rajasthan Royals,Punjab Kings,45.39325842696629,"['YBK Jaiswal', 'JC Buttler', 'SV Samson']","['Sandeep Sharma', 'K Rabada', 'Arshdeep Singh']",148.71794871794873,154.30839002267572,145.632183908046,6.789250353606789,7.897350993377483,7.7377049180327875,67,1
24,12,1304096,2022,"Brabourne Stadium, M",1,53.147058823529406,Delhi Capitals,Sunrisers Hyderabad,46.58620689655172,"['Mandeep Singh', 'MR Marsh', 'DA Warner', 'RR Pant']","['B Kumar', 'SA Abbott', 'Umran Malik', 'Kartik Tyagi']",125.66844919786095,180.0,145.03642987249546,5.966777408637874,10.64516129032258,15.461538461538463,50,2
25,12,1304096,2022,"Brabourne Stadium, M",2,53.147058823529406,Sunrisers Hyderabad,Delhi Capitals,43.91304347826087,"['Abhishek Sharma', 'KS Williamson', 'RA Tripathi', 'AK Markram']","['SN Thakur', 'KK Ahmed', 'A Nortje']",141.12554112554113,117.29166666666666,156.00706713780917,8.402214022140221,7.954545454545454,7.706070287539936,35,2
26,13,1304094,2022,Dr DY Patil Sports A,1,42.32352941176471,Gujarat Titans,Punjab Kings,42.714285714285715,"['WP Saha', 'Shubman Gill', 'HH Pandya', 'B Sai Sudharsan']","['Sandeep Sharma', 'K Rabada', 'Arshdeep Singh']",138.98531375166888,130.89214380825567,122.80701754385966,6.789250353606789,7.897350993377483,7.7377049180327875,42,2
27,13,1304094,2022,Dr DY Patil Sports A,2,42.32352941176471,Punjab Kings,Gujarat Titans,47.77777777777778,"['JM Bairstow', 'S Dhawan', 'PBB Rajapaksa']","['Mohammed Shami', 'PJ Sangwan', 'AS Joseph', 'LH Ferguson']",153.38809034907598,132.04066265060243,253.125,7.413024085637823,8.248021108179419,9.675,43,1
28,14,1304092,2022,Maharashtra Cricket ,1,46.79545454545455,Chennai Super Kings,Sunrisers Hyderabad,45.3963963963964,"['RD Gaikwad', 'DP Conway']","['B Kumar', 'M Jansen', 'T Natarajan']",122.31404958677685,131.57894736842107,123.92799513109729,5.966777408637874,7.5600000000000005,8.0,40,0
29,14,1304092,2022,Maharashtra Cricket ,2,46.79545454545455,Sunrisers Hyderabad,Chennai Super Kings,43.91304347826087,"['Abhishek Sharma', 'KS Williamson', 'RA Tripathi']","['Mukesh Choudhary', 'Simarjeet Singh', 'MJ Santner', 'M Theekshana']",141.12554112554113,117.29166666666666,156.00706713780917,8.17910447761194,8.106382978723403,8.148148148148149,58,2
30,15,1304090,2022,Dr DY Patil Sports A,1,42.32352941176471,Rajasthan Royals,Mumbai Indians,45.39325842696629,"['JC Buttler', 'D Padikkal', 'SV Samson']","['DR Sams', 'JJ Bumrah', 'HR Shokeen', 'RP Meredith']",154.30839002267572,127.1880819366853,145.632183908046,6.6875,6.643749999999999,6.5,40,1
31,15,1304090,2022,Dr DY Patil Sports A,2,42.32352941176471,Mumbai Indians,Rajasthan Royals,45.214285714285715,"['RG Sharma', 'Ishan Kishan', 'SA Yadav', 'Tilak Varma']","['TA Boult', 'M Prasidh Krishna', 'R Ashwin']",132.63305322128852,135.44973544973544,162.17228464419475,7.036011080332409,7.731182795698924,6.529898804047838,41,2
32,16,1304088,2022,Maharashtra Cricket ,1,46.79545454545455,Lucknow Super Giants,Punjab Kings,44.875,"['Q de Kock', 'KL Rahul', 'DJ Hooda']","['Arshdeep Singh', 'Sandeep Sharma', 'K Rabada', 'R Dhawan']",140.21823850350742,138.40856924254018,124.7191011235955,7.7377049180327875,6.789250353606789,7.897350993377483,39,1
33,16,1304088,2022,Maharashtra Cricket ,2,46.79545454545455,Punjab Kings,Lucknow Super Giants,47.77777777777778,"['MA Agarwal', 'S Dhawan', 'JM Bairstow']","['Mohsin Khan', 'PVD Chameera', 'JO Holder', 'Avesh Khan']",128.57142857142858,132.04066265060243,153.38809034907598,5.287128712871287,7.973684210526316,8.54054054054054,46,1
34,17,1304086,2022,"Wankhede Stadium, Mu",1,45.177419354838705,Sunrisers Hyderabad,Gujarat Titans,43.91304347826087,"['Abhishek Sharma', 'KS Williamson', 'RA Tripathi', 'AK Markram']","['Mohammed Shami', 'Yash Dayal', 'AS Joseph']",141.12554112554113,117.29166666666666,156.00706713780917,7.413024085637823,9.130434782608695,9.675,53,2
35,17,1304086,2022,"Wankhede Stadium, Mu",2,45.177419354838705,Gujarat Titans,Sunrisers Hyderabad,42.714285714285715,"['WP Saha', 'Shubman Gill']","['B Kumar', 'M Jansen', 'T Natarajan']",138.98531375166888,130.89214380825567,123.92799513109729,5.966777408637874,7.5600000000000005,8.0,59,0
36,18,1304084,2022,"Wankhede Stadium, Mu",1,45.177419354838705,Punjab Kings,Chennai Super Kings,47.77777777777778,"['MA Agarwal', 'S Dhawan', 'PBB Rajapaksa']","['Mukesh Choudhary', 'M Theekshana', 'MJ Santner']",128.57142857142858,132.04066265060243,253.125,8.17910447761194,8.10989010989011,8.148148148148149,37,1
37,18,1304084,2022,"Wankhede Stadium, Mu",2,45.177419354838705,Chennai Super Kings,Punjab Kings,45.3963963963964,"['RD Gaikwad', 'RV Uthappa', 'MJ Santner', 'S Dube']","['K Rabada', 'Sandeep Sharma', 'R Dhawan', 'Arshdeep Singh']",122.31404958677685,138.6564525633471,74.07407407407408,7.897350993377483,6.789250353606789,7.6,32,2
38,19,1304082,2022,"Brabourne Stadium, M",1,53.147058823529406,Royal Challengers Bangalore,Sunrisers Hyderabad,45.55555555555556,"['F du Plessis', 'Anuj Rawat', 'V Kohli', 'GJ Maxwell', 'SS Prabhudessai', 'Shahbaz Ahmed']","['B Kumar', 'M Jansen', 'T Natarajan']",138.73417721518987,101.14942528735634,129.1866028708134,5.966777408637874,7.5600000000000005,8.0,31,4
39,19,1304082,2022,"Brabourne Stadium, M",2,53.147058823529406,Sunrisers Hyderabad,Royal Challengers Bangalore,43.91304347826087,"['Abhishek Sharma', 'KS Williamson']","['Mohammed Siraj', 'JR Hazlewood', 'HV Patel']",141.12554112554113,117.29166666666666,123.92799513109729,8.493506493506493,7.3831775700934585,8.516778523489933,56,0
40,20,1304080,2022,"Wankhede Stadium, Mu",1,45.177419354838705,Rajasthan Royals,Delhi Capitals,45.39325842696629,"['JC Buttler', 'D Padikkal']","['KK Ahmed', 'SN Thakur', 'Lalit Yadav', 'Mustafizur Rahman']",154.30839002267572,127.1880819366853,123.92799513109729,7.954545454545454,8.402214022140221,7.1020408163265305,44,0
41,20,1304080,2022,"Wankhede Stadium, Mu",2,45.177419354838705,Delhi Capitals,Rajasthan Royals,46.58620689655172,"['PP Shaw', 'DA Warner', 'SN Khan', 'RR Pant']","['TA Boult', 'M Prasidh Krishna', 'OC McCoy', 'R Ashwin']",151.46124523506987,145.03642987249546,167.30769230769232,7.036011080332409,7.731182795698924,7.0,55,2
42,21,1304078,2022,"Brabourne Stadium, M",1,53.147058823529406,Punjab Kings,Delhi Capitals,47.77777777777778,"['MA Agarwal', 'S Dhawan', 'JM Bairstow', 'LS Livingstone', 'JM Sharma']","['SN Thakur', 'KK Ahmed', 'Lalit Yadav', 'Mustafizur Rahman', 'AR Patel']",128.57142857142858,132.04066265060243,153.38809034907598,8.402214022140221,7.954545454545454,7.1020408163265305,47,3
43,21,1304078,2022,"Brabourne Stadium, M",2,53.147058823529406,Delhi Capitals,Punjab Kings,46.58620689655172,"['PP Shaw', 'DA Warner']","['VG Arora', 'K Rabada', 'Arshdeep Singh', 'NT Ellis']",151.46124523506987,145.03642987249546,123.92799513109729,7.875,7.897350993377483,7.7377049180327875,81,0
44,22,1304076,2022,"Brabourne Stadium, M",1,53.147058823529406,Rajasthan Royals,Kolkata Knight Riders,45.39325842696629,"['JC Buttler', 'D Padikkal']","['UT Yadav', 'Shivam Mavi', 'CV Varun', 'PJ Cummins']",154.30839002267572,127.1880819366853,123.92799513109729,7.486404833836858,8.122186495176848,6.963730569948186,60,0
45,22,1304076,2022,"Brabourne Stadium, M",2,53.147058823529406,Kolkata Knight Riders,Rajasthan Royals,44.40952380952381,"['AJ Finch', 'SS Iyer']","['TA Boult', 'M Prasidh Krishna', 'OC McCoy', 'R Ashwin']",125.54479418886197,126.11386138613861,123.92799513109729,7.036011080332409,7.731182795698924,7.0,57,1
46,23,1304074,2022,Dr DY Patil Sports A,1,42.32352941176471,Punjab Kings,Sunrisers Hyderabad,47.77777777777778,"['S Dhawan', 'P Simran Singh', 'JM Bairstow', 'LS Livingstone']","['B Kumar', 'M Jansen', 'T Natarajan']",132.04066265060243,104.76190476190477,153.38809034907598,5.966777408637874,7.5600000000000005,8.0,48,2
47,23,1304074,2022,Dr DY Patil Sports A,2,42.32352941176471,Sunrisers Hyderabad,Punjab Kings,43.91304347826087,"['Abhishek Sharma', 'KS Williamson', 'RA Tripathi']","['VG Arora', 'K Rabada', 'Arshdeep Singh']",141.12554112554113,117.29166666666666,156.00706713780917,7.875,7.897350993377483,7.7377049180327875,39,1
48,24,1304072,2022,"Brabourne Stadium, M",1,53.147058823529406,Lucknow Super Giants,Mumbai Indians,44.875,"['KL Rahul', 'Q de Kock', 'MK Pandey']","['Tilak Varma', 'JD Unadkat', 'M Ashwin', 'JJ Bumrah', 'TS Mills', 'FA Allen']",138.40856924254018,140.21823850350742,132.86290322580646,7.0,7.449720670391061,8.936170212765957,57,1
