,MatchNo,MatchID,Year,Venue,Innings,VenueAvg,TeamBatting,TeamBowling,TeamBattingAvg,Batters,Bowlers,Batter1SR,Batter2SR,Batter3SR,Bowler1E,Bowler2E,Bowler3E,RunsScored,Wickets
0,0,1312200,2022,Narendra Modi Stadiu,1,0.5079365079365079,Rajasthan Royals,Gujarat Titans,0.54576596327761,"['YBK Jaiswal', 'JC Buttler', 'SV Samson']","['Mohammed Shami', 'Yash Dayal', 'LH Ferguson', 'Rashid Khan']",0.8646392367322601,0.7779220192077916,0.4318872821653689,0.41352186534319685,0.57487922705314,0.3670063770188926,44,1
1,0,1312200,2022,Narendra Modi Stadiu,2,0.5079365079365079,Gujarat Titans,Rajasthan Royals,0.31707317073170715,"['WP Saha', 'Shubman Gill', 'MS Wade', 'HH Pandya']","['TA Boult', 'M Prasidh Krishna', 'YS Chahal']",0.8080541497190051,0.6071831888148413,0.3134982774819917,0.37394591451003184,0.3675826363998407,0.3784285221951871,31,2
2,1,1312198,2022,"Eden Gardens, Kolkat",1,1.0000000000000002,Royal Challengers Bangalore,Lucknow Super Giants,0.5596205962059622,"['V Kohli', 'F du Plessis', 'RM Patidar']","['Mohsin Khan', 'PVD Chameera', 'KH Pandya', 'Avesh Khan']",0.7510849004117058,0.6643631313018592,0.3763440860215053,0.1903615775942235,0.4035087719298247,0.3261379162354576,52,1
3,1,1312198,2022,"Eden Gardens, Kolkat",2,1.0000000000000002,Lucknow Super Giants,Royal Challengers Bangalore,0.5015243902439024,"['Q de Kock', 'KL Rahul', 'M Vohra', 'DJ Hooda']","['Mohammed Siraj', 'JR Hazlewood', 'Shahbaz Ahmed']",0.8152223168808571,0.661988970904511,0.37715780296425455,0.5269426705890792,0.31602630668051246,0.4270078927289327,62,2
4,2,1304116,2022,"Wankhede Stadium, Mu",1,0.4718149234278266,Sunrisers Hyderabad,Punjab Kings,0.4194061505832445,"['PK Garg', 'Abhishek Sharma', 'RA Tripathi']","['LS Livingstone', 'Arshdeep Singh', 'K Rabada', 'NT Ellis']",0.7343941248470012,0.681799686817997,0.4787415935255898,0.1602209944751381,0.3685488767455982,0.36901239289572374,43,1
5,2,1304116,2022,"Wankhede Stadium, Mu",2,0.4718149234278266,Punjab Kings,Sunrisers Hyderabad,0.7493224932249323,"['JM Bairstow', 'S Dhawan', 'M Shahrukh Khan']","['B Kumar', 'Washington Sundar', 'Fazalhaq Farooqi', 'J Suchith']",0.8917912229597441,0.6155575782037688,0.48924731182795683,0.2617059158238652,0.3021330786373766,0.16381712259371828,62,1
6,3,1304114,2022,"Brabourne Stadium, M",1,0.7938205585264406,Chennai Super Kings,Rajasthan Royals,0.5460338387167654,"['RD Gaikwad', 'DP Conway', 'MM Ali']","['TA Boult', 'M Prasidh Krishna', 'R Ashwin']",0.7111281952719584,0.6121909955955943,0.47507331378299117,0.37394591451003184,0.3675826363998407,0.25494258851733065,75,1
7,3,1304114,2022,"Brabourne Stadium, M",2,0.7938205585264406,Rajasthan Royals,Chennai Super Kings,0.54576596327761,"['YBK Jaiswal', 'JC Buttler', 'SV Samson']","['Mukesh Choudhary', 'Simarjeet Singh']",0.8646392367322601,0.7779220192077916,0.4318872821653689,0.4939391440587119,0.4231678486997634,0.3945734429450247,52,1
8,4,1304112,2022,Dr DY Patil Sports A,1,0.3565062388591802,Lucknow Super Giants,Kolkata Knight Riders,0.5015243902439024,"['Q de Kock', 'KL Rahul']","['UT Yadav', 'TG Southee', 'SP Narine', 'CV Varun']",0.8152223168808571,0.661988970904511,0.33386836510818124,0.4212248168116038,0.3535353535353536,0.2574613499413022,44,0
9,4,1304112,2022,Dr DY Patil Sports A,2,0.3565062388591802,Kolkata Knight Riders,Lucknow Super Giants,0.461788617886179,"['VR Iyer', 'N Rana', 'A Tomar', 'SS Iyer']","['Mohsin Khan', 'JO Holder', 'Avesh Khan', 'K Gowtham']",0.7340850364106177,0.6599213345992134,0.0,0.1903615775942235,0.4874874874874875,0.38130331176806864,60,2
